,Date,Area,Agravated assault,Burglary,Burglary from vehicle,Intimate partner assault,Simple assault,Small theft (under 950$),Stolen vehicle,Theft of identity,Vandalism (felony),Vandalism (misdeameanor),Year
0,2010-01-01,77th Street,88,85,89,60,160,63,92,103,46,58,2010
1,2010-01-01,Central,29,13,67,24,109,55,17,49,14,15,2010
2,2010-01-01,Devonshire,15,94,108,44,65,47,71,88,42,54,2010
3,2010-01-01,Foothill,32,56,96,56,56,38,75,131,43,41,2010
4,2010-01-01,Harbor,14,84,43,48,48,51,84,115,40,42,2010
5,2010-01-01,Hollenbeck,23,30,51,23,60,31,150,77,27,32,2010
6,2010-01-01,Hollywood,33,44,68,32,98,74,54,92,40,26,2010
7,2010-01-01,Mission,41,58,92,44,95,33,83,142,34,51,2010
8,2010-01-01,N Hollywood,35,79,167,46,64,61,80,149,49,55,2010
9,2010-01-01,Newton,79,49,49,41,76,35,104,47,51,47,2010
10,2010-01-01,Northeast,37,51,89,51,50,45,76,116,63,51,2010
11,2010-01-01,Olympic,17,61,64,32,99,29,74,92,42,19,2010
12,2010-01-01,Pacific,18,98,80,21,83,70,67,70,30,43,2010
13,2010-01-01,Rampart,24,25,65,68,85,17,62,63,38,37,2010
14,2010-01-01,Southeast,92,104,44,57,115,26,86,88,22,49,2010
15,2010-01-01,Southwest,67,96,78,66,119,82,66,91,45,49,2010
16,2010-01-01,Topanga,20,86,83,20,67,63,43,93,46,43,2010
17,2010-01-01,Van Nuys,18,66,129,63,53,52,65,142,49,41,2010
18,2010-01-01,West LA,9,74,61,13,57,33,35,75,31,26,2010
19,2010-01-01,West Valley,17,81,111,54,62,29,62,120,37,42,2010
20,2010-01-01,Wilshire,14,73,54,26,68,34,60,82,27,33,2010
21,2010-02-01,77th Street,93,82,62,45,133,42,84,54,58,49,2010
22,2010-02-01,Central,21,10,19,26,89,51,24,11,14,23,2010
23,2010-02-01,Devonshire,12,84,120,28,50,24,65,54,47,53,2010
24,2010-02-01,Foothill,18,66,73,44,57,24,87,49,36,30,2010
25,2010-02-01,Harbor,22,59,52,55,57,45,88,47,45,35,2010
26,2010-02-01,Hollenbeck,39,22,50,17,65,28,95,37,15,21,2010
27,2010-02-01,Hollywood,33,38,63,30,79,58,40,41,42,25,2010
28,2010-02-01,Mission,38,71,65,30,65,28,87,71,39,44,2010
29,2010-02-01,N Hollywood,20,66,138,58,78,40,67,71,48,44,2010
30,2010-02-01,Newton,57,47,41,41,80,17,108,27,30,37,2010
31,2010-02-01,Northeast,35,68,91,48,64,43,77,70,52,44,2010
32,2010-02-01,Olympic,28,43,51,30,93,23,51,44,31,25,2010
33,2010-02-01,Pacific,11,59,78,12,86,61,53,51,42,53,2010
34,2010-02-01,Rampart,37,28,71,37,87,17,64,41,28,29,2010
35,2010-02-01,Southeast,40,64,33,50,77,21,61,52,17,61,2010
36,2010-02-01,Southwest,57,54,74,68,88,69,73,68,43,60,2010
37,2010-02-01,Topanga,19,51,66,45,55,52,38,46,46,43,2010
38,2010-02-01,Van Nuys,9,64,111,47,48,48,67,50,49,42,2010
39,2010-02-01,West LA,6,38,95,16,56,24,18,55,32,23,2010
40,2010-02-01,West Valley,12,91,79,38,37,39,45,51,26,42,2010
41,2010-02-01,Wilshire,11,44,53,40,43,30,39,52,28,27,2010
42,2010-03-01,77th Street,90,91,61,69,147,49,97,54,53,67,2010
43,2010-03-01,Central,22,18,33,22,116,41,39,17,9,36,2010
44,2010-03-01,Devonshire,10,91,117,45,47,41,67,63,62,46,2010
45,2010-03-01,Foothill,39,55,56,54,75,32,92,56,39,47,2010
46,2010-03-01,Harbor,18,79,65,58,57,44,117,49,59,42,2010
47,2010-03-01,Hollenbeck,40,38,54,24,71,28,83,45,34,23,2010
48,2010-03-01,Hollywood,23,35,81,34,86,46,42,36,65,32,2010
49,2010-03-01,Mission,39,77,68,40,96,33,84,73,54,65,2010
50,2010-03-01,N Hollywood,27,71,144,35,62,57,70,96,64,38,2010
51,2010-03-01,Newton,81,72,48,53,99,27,130,21,37,30,2010
52,2010-03-01,Northeast,23,62,109,46,91,42,63,64,63,41,2010
53,2010-03-01,Olympic,22,55,51,26,97,44,72,43,36,28,2010
54,2010-03-01,Pacific,22,67,97,23,94,62,58,67,39,70,2010
55,2010-03-01,Rampart,30,37,51,54,114,23,67,32,36,36,2010
56,2010-03-01,Southeast,63,80,45,73,112,36,82,32,21,67,2010
57,2010-03-01,Southwest,50,83,85,74,109,81,78,71,44,49,2010
58,2010-03-01,Topanga,21,55,73,40,64,66,39,58,40,33,2010
59,2010-03-01,Van Nuys,18,58,106,64,67,57,63,59,59,46,2010
60,2010-03-01,West LA,6,47,91,14,55,36,47,68,53,29,2010
61,2010-03-01,West Valley,17,73,68,43,51,31,56,61,40,35,2010
62,2010-03-01,Wilshire,17,43,61,29,41,22,52,47,21,29,2010
63,2010-04-01,77th Street,103,107,70,57,150,42,111,66,45,60,2010
64,2010-04-01,Central,28,15,48,28,77,56,28,14,10,26,2010
65,2010-04-01,Devonshire,11,104,91,27,66,38,63,66,61,44,2010
66,2010-04-01,Foothill,33,72,74,26,44,44,117,71,37,36,2010
67,2010-04-01,Harbor,25,73,41,51,54,49,86,50,57,39,2010
68,2010-04-01,Hollenbeck,27,21,53,25,84,30,74,27,41,34,2010
69,2010-04-01,Hollywood,28,43,77,31,88,63,62,45,46,16,2010
70,2010-04-01,Mission,29,70,63,30,91,31,98,73,58,35,2010
71,2010-04-01,N Hollywood,30,78,144,50,76,52,83,59,72,40,2010
72,2010-04-01,Newton,77,56,57,30,88,32,90,40,36,28,2010
73,2010-04-01,Northeast,21,67,98,46,81,37,70,70,48,50,2010
74,2010-04-01,Olympic,23,30,54,38,100,32,54,40,34,33,2010
75,2010-04-01,Pacific,14,75,121,13,63,62,67,48,31,52,2010
76,2010-04-01,Rampart,40,29,50,48,99,28,69,34,32,36,2010
77,2010-04-01,Southeast,79,89,58,64,130,44,99,32,31,71,2010
78,2010-04-01,Southwest,50,89,95,76,102,91,85,76,42,76,2010
79,2010-04-01,Topanga,25,65,50,40,74,54,49,62,38,28,2010
80,2010-04-01,Van Nuys,21,50,136,70,62,59,73,86,63,41,2010
81,2010-04-01,West LA,4,40,90,15,58,30,27,73,31,26,2010
82,2010-04-01,West Valley,21,76,84,34,77,28,39,56,38,21,2010
83,2010-04-01,Wilshire,13,59,64,22,49,25,50,49,41,42,2010
84,2010-05-01,77th Street,105,92,58,64,165,56,93,56,62,60,2010
85,2010-05-01,Central,35,19,49,20,103,72,29,16,18,26,2010
86,2010-05-01,Devonshire,8,124,94,37,62,38,59,68,46,39,2010
87,2010-05-01,Foothill,33,89,63,49,57,46,89,62,46,32,2010
88,2010-05-01,Harbor,30,70,51,82,58,56,78,36,46,50,2010
89,2010-05-01,Hollenbeck,49,24,40,34,101,25,74,35,33,26,2010
90,2010-05-01,Hollywood,29,38,67,39,76,56,36,29,56,37,2010
91,2010-05-01,Mission,39,85,68,41,95,42,86,51,42,37,2010
