Area name,Population (approx.),Area (approx.) [square miles],Avg. yearly crime count
Newton,150000,9,10005.2
Pacific,200000,25.74,11258.2
Hollywood,300000,17.2,9908.3
Central,842700,65,9833.5
Northeast,250000,29,10032.4
Hollenbeck,200000,15.2,7798.4
Southwest,165000,13.11,13552.3
Southeast,150000,10.2,11152.6
Rampart,164961,5.54,8965.3
Olympic,200000,25.05,9538.2
Wilshire,251000,13.97,8866.4
77th Street,175000,11.9,14538.9
Harbor,171000,27,9206
West LA,200000,25.05,8912.2
Van Nuys,325000,30,9980.7
West Valley,196840,33.5,8964.2
Mission,225849,25.1,10365.6
Topanga,200000,25.05,9768.8
N Hollywood,220000,25,11399.2
Foothill,182214,46.13,7992.7
Devonshire,219136,48.31,9656.3
Total Los Angeles,4988700,526.05,211695.4
