,AREA NAME,Vict Descent written,Count
2,77th Street,Black,68526
8,77th Street,Hispanic/Latin/Mexican,49897
12,77th Street,Other,4127
16,77th Street,Unknown,18242
18,77th Street,White,4597
21,Central,Black,23678
27,Central,Hispanic/Latin/Mexican,31097
30,Central,Other,11890
31,Central,Other Asian,3694
34,Central,Unknown,6177
36,Central,White,21799
39,Devonshire,Black,5677
45,Devonshire,Hispanic/Latin/Mexican,24709
48,Devonshire,Other,12998
49,Devonshire,Other Asian,3510
52,Devonshire,Unknown,14526
54,Devonshire,White,35143
57,Foothill,Black,4093
62,Foothill,Hispanic/Latin/Mexican,39264
66,Foothill,Other,8441
67,Foothill,Other Asian,1039
70,Foothill,Unknown,10991
72,Foothill,White,16099
75,Harbor,Black,8396
81,Harbor,Hispanic/Latin/Mexican,36633
84,Harbor,Other,8297
85,Harbor,Other Asian,1199
88,Harbor,Unknown,16734
90,Harbor,White,20801
93,Hollenbeck,Black,2278
99,Hollenbeck,Hispanic/Latin/Mexican,48717
103,Hollenbeck,Other,2433
104,Hollenbeck,Other Asian,1255
106,Hollenbeck,Unknown,15365
108,Hollenbeck,White,7936
111,Hollywood,Black,10641
117,Hollywood,Hispanic/Latin/Mexican,20407
120,Hollywood,Other,13032
121,Hollywood,Other Asian,2523
124,Hollywood,Unknown,13613
126,Hollywood,White,38867
129,Mission,Black,5566
134,Mission,Hispanic/Latin/Mexican,58477
137,Mission,Other,11281
138,Mission,Other Asian,1336
141,Mission,Unknown,13609
143,Mission,White,13387
146,N Hollywood,Black,8792
152,N Hollywood,Hispanic/Latin/Mexican,30555
155,N Hollywood,Other,14823
156,N Hollywood,Other Asian,2029
159,N Hollywood,Unknown,11002
161,N Hollywood,White,46791
163,Newton,Black,18715
169,Newton,Hispanic/Latin/Mexican,57300
172,Newton,Other,5580
175,Newton,Unknown,13709
177,Newton,White,4748
180,Northeast,Black,3912
185,Northeast,Hispanic/Latin/Mexican,36990
188,Northeast,Other,11516
189,Northeast,Other Asian,3097
192,Northeast,Unknown,13064
194,Northeast,White,31745
197,Olympic,Black,8999
202,Olympic,Hispanic/Latin/Mexican,37461
204,Olympic,Korean,7021
206,Olympic,Other,10593
207,Olympic,Other Asian,6560
209,Olympic,Unknown,13860
211,Olympic,White,10888
214,Pacific,Black,12341
219,Pacific,Hispanic/Latin/Mexican,16625
223,Pacific,Other,11506
224,Pacific,Other Asian,3455
227,Pacific,Unknown,18258
229,Pacific,White,50397
231,Rampart,Black,9477
237,Rampart,Hispanic/Latin/Mexican,46045
241,Rampart,Other,8258
242,Rampart,Other Asian,2252
245,Rampart,Unknown,11410
247,Rampart,White,12211
250,Southeast,Black,46792
256,Southeast,Hispanic/Latin/Mexican,43917
259,Southeast,Other,3626
263,Southeast,Unknown,14612
265,Southeast,White,2579
268,Southwest,Black,55255
273,Southwest,Hispanic/Latin/Mexican,41607
277,Southwest,Other,5906
278,Southwest,Other Asian,3981
281,Southwest,Unknown,17039
283,Southwest,White,11735
286,Topanga,Black,6777
291,Topanga,Hispanic/Latin/Mexican,24715
294,Topanga,Other,13415
295,Topanga,Other Asian,2274
298,Topanga,Unknown,12766
300,Topanga,White,37741
303,Van Nuys,Black,8027
308,Van Nuys,Hispanic/Latin/Mexican,29787
311,Van Nuys,Other,12408
312,Van Nuys,Other Asian,1668
315,Van Nuys,Unknown,12804
317,Van Nuys,White,35113
320,West LA,Black,5511
325,West LA,Hispanic/Latin/Mexican,9833
329,West LA,Other,14661
330,West LA,Other Asian,3829
333,West LA,Unknown,10997
335,West LA,White,44291
338,West Valley,Black,5417
343,West Valley,Hispanic/Latin/Mexican,23670
346,West Valley,Other,16912
347,West Valley,Other Asian,1986
349,West Valley,Unknown,7476
351,West Valley,White,34181
354,Wilshire,Black,16581
360,Wilshire,Hispanic/Latin/Mexican,18505
364,Wilshire,Other,11984
365,Wilshire,Other Asian,3127
367,Wilshire,Unknown,8749
369,Wilshire,White,29718
